name,symbol,logo,price,market_cap,href
Bitcoin,BTC,https://s2.coinmarketcap.com/static/img/coins/64x64/1.png,"$19,855.96 ","$377,643,453,325 ",https://coinmarketcap.com/currencies/bitcoin/
Ethereum,ETH,https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png,"$1,074.17 ","$130,026,982,589 ",https://coinmarketcap.com/currencies/ethereum/
Tether,USDT,https://s2.coinmarketcap.com/static/img/coins/64x64/825.png,$1.00 ,"$65,905,582,002 ",https://coinmarketcap.com/currencies/tether/
USD Coin,USDC,https://s2.coinmarketcap.com/static/img/coins/64x64/3408.png,$1.00 ,"$55,334,493,314 ",https://coinmarketcap.com/currencies/usd-coin/
BNB,BNB,https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png,$226.53 ,"$36,986,432,289 ",https://coinmarketcap.com/currencies/bnb/
Binance USD,BUSD,https://s2.coinmarketcap.com/static/img/coins/64x64/4687.png,$1.00 ,"$17,573,671,197 ",https://coinmarketcap.com/currencies/binance-usd/
XRP,XRP,https://s2.coinmarketcap.com/static/img/coins/64x64/52.png,$0.32 ,"$15,414,334,198 ",https://coinmarketcap.com/currencies/xrp/
Cardano,ADA,https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png,$0.43 ,"$14,446,114,805 ",https://coinmarketcap.com/currencies/cardano/
Solana,SOL,https://s2.coinmarketcap.com/static/img/coins/64x64/5426.png,$33.76 ,"$11,665,562,925 ",https://coinmarketcap.com/currencies/solana/
Dogecoin,DOGE,https://s2.coinmarketcap.com/static/img/coins/64x64/74.png,$0.06 ,"$8,176,158,839 ",https://coinmarketcap.com/currencies/dogecoin/
Dai,DAI,https://s2.coinmarketcap.com/static/img/coins/64x64/4943.png,$1.00 ,"$6,878,847,763 ",https://coinmarketcap.com/currencies/multi-collateral-dai/
Polkadot,DOT,https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png,$6.48 ,"$6,396,824,969 ",https://coinmarketcap.com/currencies/polkadot-new/
TRON,TRX,https://s2.coinmarketcap.com/static/img/coins/64x64/1958.png,$0.07 ,"$6,080,026,407 ",https://coinmarketcap.com/currencies/tron/
Shiba Inu,SHIB,https://s2.coinmarketcap.com/static/img/coins/64x64/5994.png,$0.00 ,"$5,648,955,081 ",https://coinmarketcap.com/currencies/shiba-inu/
UNUS SED LEO,LEO,https://s2.coinmarketcap.com/static/img/coins/64x64/3957.png,$5.38 ,"$5,133,310,916 ",https://coinmarketcap.com/currencies/unus-sed-leo/
Avalanche,AVAX,https://s2.coinmarketcap.com/static/img/coins/64x64/5805.png,$17.49 ,"$4,958,901,777 ",https://coinmarketcap.com/currencies/avalanche/
Wrapped Bitcoin,WBTC,https://s2.coinmarketcap.com/static/img/coins/64x64/3717.png,"$19,741.97 ","$4,905,532,025 ",https://coinmarketcap.com/currencies/wrapped-bitcoin/
Polygon,MATIC,https://s2.coinmarketcap.com/static/img/coins/64x64/3890.png,$0.56 ,"$4,473,346,808 ",https://coinmarketcap.com/currencies/polygon/
Uniswap,UNI,https://s2.coinmarketcap.com/static/img/coins/64x64/7083.png,$5.68 ,"$4,156,874,534 ",https://coinmarketcap.com/currencies/uniswap/
Litecoin,LTC,https://s2.coinmarketcap.com/static/img/coins/64x64/2.png,$48.96 ,"$3,451,396,307 ",https://coinmarketcap.com/currencies/litecoin/
FTX Token,FTT,https://s2.coinmarketcap.com/static/img/coins/64x64/4195.png,$24.55 ,"$3,307,953,714 ",https://coinmarketcap.com/currencies/ftx-token/
